sample_size,contamination_prop,contamination_type,model,coverage_probability,average_ci_width
20,0.0,unbiased,normal,0.953,0.9246342
20,0.0,unbiased,cont,0.951,0.91375
20,0.0,unbiased,t,0.924,0.8951719
20,0.0,unbiased,BBmean,0.921,0.8261444
20,0.0,unbiased,BBtrim,0.951,0.9522434
20,0.0,biased,normal,0.956,0.92904735
20,0.0,biased,cont,0.954,0.9202903
20,0.0,biased,t,0.926,0.90244937
20,0.0,biased,BBmean,0.933,0.8295901
20,0.0,biased,BBtrim,0.955,0.95887625
20,0.1,unbiased,normal,0.987,2.8283858
20,0.1,unbiased,cont,0.946,1.061707
20,0.1,unbiased,t,0.921,1.0272893
20,0.1,unbiased,BBmean,0.791,2.529058
20,0.1,unbiased,BBtrim,0.957,1.2619065
20,0.1,biased,normal,0.966,2.9961734
20,0.1,biased,cont,0.94,0.9987411
20,0.1,biased,t,0.913,1.023527
20,0.1,biased,BBmean,0.509,2.6320846
20,0.1,biased,BBtrim,0.924,1.7214416
20,0.2,unbiased,normal,0.971,3.9705608
20,0.2,unbiased,cont,0.948,1.223658
20,0.2,unbiased,t,0.927,1.1723135
20,0.2,unbiased,BBmean,0.817,3.597979
20,0.2,unbiased,BBtrim,0.952,1.9360799
20,0.2,biased,normal,0.455,3.9174786
20,0.2,biased,cont,0.938,1.127961
20,0.2,biased,t,0.937,1.2162142
20,0.2,biased,BBmean,0.015,3.443453
20,0.2,biased,BBtrim,0.795,3.6545992
20,0.3,unbiased,normal,0.968,4.952834
20,0.3,unbiased,cont,0.944,1.4663547
20,0.3,unbiased,t,0.942,1.4031854
20,0.3,unbiased,BBmean,0.857,4.48134
20,0.3,unbiased,BBtrim,0.958,2.8254135
20,0.3,biased,normal,0.01,4.4820294
20,0.3,biased,cont,0.859,2.790038
20,0.3,biased,t,0.941,2.0354197
20,0.3,biased,BBmean,0.0,3.9478054
20,0.3,biased,BBtrim,0.539,5.2789392
20,0.4,unbiased,normal,0.954,5.7214127
20,0.4,unbiased,cont,0.956,2.0050924
20,0.4,unbiased,t,0.956,1.849139
20,0.4,unbiased,BBmean,0.879,5.18503
20,0.4,unbiased,BBtrim,0.957,3.795
20,0.4,biased,normal,0.0,4.7717094
20,0.4,biased,cont,0.298,4.5495343
20,0.4,biased,t,0.787,5.948159
20,0.4,biased,BBmean,0.0,4.206721
20,0.4,biased,BBtrim,0.078,6.444158
20,0.5,unbiased,normal,0.935,6.450157
20,0.5,unbiased,cont,0.947,3.497888
20,0.5,unbiased,t,0.979,2.918162
20,0.5,unbiased,BBmean,0.88,5.8298707
20,0.5,unbiased,BBtrim,0.94,4.848808
20,0.5,biased,normal,0.0,4.8620224
20,0.5,biased,cont,0.109,4.9230127
20,0.5,biased,t,0.006,6.582024
20,0.5,biased,BBmean,0.0,4.294639
20,0.5,biased,BBtrim,0.0,6.717607
50,0.0,unbiased,normal,0.949,0.5615555
50,0.0,unbiased,cont,0.947,0.5611415
50,0.0,unbiased,t,0.936,0.5590969
50,0.0,unbiased,BBmean,0.943,0.53888816
50,0.0,unbiased,BBtrim,0.949,0.5961549
50,0.0,biased,normal,0.946,0.5592855
50,0.0,biased,cont,0.944,0.55917114
50,0.0,biased,t,0.931,0.5568619
50,0.0,biased,BBmean,0.939,0.5361011
50,0.0,biased,BBtrim,0.951,0.5953197
50,0.1,unbiased,normal,0.963,1.7800075
50,0.1,unbiased,cont,0.95,0.639833
50,0.1,unbiased,t,0.937,0.63629484
50,0.1,unbiased,BBmean,0.871,1.7340918
50,0.1,unbiased,BBtrim,0.953,0.68421435
50,0.1,biased,normal,0.271,1.8060766
50,0.1,biased,cont,0.948,0.62537634
50,0.1,biased,t,0.921,0.6324271
50,0.1,biased,BBmean,0.016,1.7121696
50,0.1,biased,BBtrim,0.851,0.746869
50,0.2,unbiased,normal,0.964,2.5144422
50,0.2,unbiased,cont,0.957,0.7055248
50,0.2,unbiased,t,0.952,0.71376264
50,0.2,unbiased,BBmean,0.904,2.4474936
50,0.2,unbiased,BBtrim,0.954,0.8410554
50,0.2,biased,normal,0.0,2.3454874
50,0.2,biased,cont,0.936,0.6845471
50,0.2,biased,t,0.915,0.7307103
50,0.2,biased,BBmean,0.0,2.2265763
50,0.2,biased,BBtrim,0.487,2.221609
50,0.3,unbiased,normal,0.954,3.0783906
50,0.3,unbiased,cont,0.939,0.7850682
50,0.3,unbiased,t,0.944,0.82147056
50,0.3,unbiased,BBmean,0.917,2.9940941
50,0.3,unbiased,BBtrim,0.951,1.1860098
50,0.3,biased,normal,0.0,2.6776347
50,0.3,biased,cont,0.912,0.9120333
50,0.3,biased,t,0.909,0.9520037
50,0.3,biased,BBmean,0.0,2.549186
50,0.3,biased,BBtrim,0.051,3.6707675
50,0.4,unbiased,normal,0.94,3.5906413
50,0.4,unbiased,cont,0.963,0.92331684
50,0.4,unbiased,t,0.963,1.0196295
50,0.4,unbiased,BBmean,0.908,3.4808
50,0.4,unbiased,BBtrim,0.948,1.792324
50,0.4,biased,normal,0.0,2.856387
50,0.4,biased,cont,0.616,1.7619548
50,0.4,biased,t,0.135,4.015777
50,0.4,biased,BBmean,0.0,2.7220957
50,0.4,biased,BBtrim,0.0,4.226082
50,0.5,unbiased,normal,0.934,4.0025244
50,0.5,unbiased,cont,0.959,1.1432018
50,0.5,unbiased,t,0.98,1.4424304
50,0.5,unbiased,BBmean,0.913,3.8583667
50,0.5,unbiased,BBtrim,0.963,2.489854
50,0.5,biased,normal,0.0,2.9089344
